Id,Tipo,Especialidad, Puntuacion 
2991,Clinica,General Medicine, 8.0 
2992,Hospital,Dentist, 0.7 
2993,ONG,Homeopath, 9.7 
2994,Otro,Dentist, 8.0 
2995,Medico,ENT Specialist, 10.0 
2996,Especialista,Dentist, 9.3 
2997,Clinica,Dermatologists, 10.0 
2998,Hospital,ENT Specialist, 9.5 
2999,ONG,General Medicine, 9.5 
3000,Otro,Dermatologists, 8.0 
3001,Medico,General Medicine, 8.0 
3002,Especialista,Dermatologists, 8.0 
3003,Clinica,Homeopath, 9.8 
3004,Hospital,General Medicine, 9.8 
3005,ONG,Dermatologists, 8.0 
3006,Otro,Dermatologists, 9.8 
3007,Medico,Ayurveda, 10.0 
3008,Especialista,Dermatologists, 8.0 
3009,Clinica,General Medicine, 10.0 
3010,Hospital,Dermatologists, 8.0 
3011,ONG,Dermatologists, 9.3 
3012,Otro,Ayurveda, 9.0 
3013,Medico,General Medicine, 8.0 
3014,Especialista,ENT Specialist, 10.0 
3015,Clinica,Dentist, 8.0 
3016,Hospital,Dentist, 8.0 
3017,ONG,Homeopath, 9.6 
3018,Otro,Homeopath, 8.0 
3019,Medico,Ayurveda, 10.0 
3020,Especialista,Dermatologists, 8.0 
3021,Clinica,General Medicine, 9.5 
3022,Hospital,Dentist, 8.0 
3023,ONG,Dermatologists, 8.0 
3024,Otro,Dermatologists, 9.9 
3025,Medico,Ayurveda, 8.0 
3026,Especialista,Homeopath, 8.0 
3027,Clinica,General Medicine, 8.0 
3028,Hospital,Homeopath, 810.0 
3029,ONG,General Medicine, 8.0 
3030,Otro,Dermatologists, 8.0 
3031,Medico,Dermatologists, 9.7 
3032,Especialista,Ayurveda, 10.0 
3033,Clinica,Homeopath, 8.0 
3034,Hospital,Dermatologists, 8.0 
3035,ONG,ENT Specialist, 84.0 
3036,Otro,ENT Specialist, 8.0 
3037,Medico,ENT Specialist, 9.7 
3038,Especialista,Dentist, 9.3 
3039,Clinica,ENT Specialist, 10.0 
3040,Hospital,Homeopath, 9.8 
3041,ONG,Ayurveda, 8.0 
3042,Otro,Homeopath, 8.0 
3043,Medico,ENT Specialist, 9.6 
3044,Especialista,Dermatologists, 8.0 
3045,Clinica,Dentist, 8.0 
3046,Hospital,Dentist, 9.9 
3047,ONG,Homeopath, 8.0 
3048,Otro,Dentist, 8.0 
3049,Medico,Dentist, 9.7 
3050,Especialista,Dentist, 9.9 
3051,Clinica,Dentist, 8.0 
3052,Hospital,Dentist, 8.0 
3053,ONG,ENT Specialist, 9.8 
3054,Otro,General Medicine, 8.0 
3055,Medico,Dentist, 8.0 
3056,Especialista,Dentist, 9.7 
3057,Clinica,General Medicine, 9.0 
3058,Hospital,Dermatologists, 8.0 
3059,ONG,ENT Specialist, 9.9 
3060,Otro,Dentist, 8.0 
3061,Medico,Dentist, 8.0 
3062,Especialista,General Medicine, 9.8 
3063,Clinica,General Medicine, 8.0 
3064,Hospital,Homeopath, 10.0 
3065,ONG,Dentist, 8.0 
3066,Otro,Homeopath, 10.0 
3067,Medico,General Medicine, 8.6 
3068,Especialista,Homeopath, 9.9 
3069,Clinica,General Medicine, 8.0 
3070,Hospital,ENT Specialist, 8.0 
3071,ONG,General Medicine, 9.7 
3072,Otro,Dermatologists, 8.0 
3073,Medico,Dermatologists, 9.6 
3074,Especialista,Dentist, 9.3 
3075,Clinica,General Medicine, 9.8 
3076,Hospital,Dermatologists, 8.3 
3077,ONG,Dermatologists, 9.0 
3078,Otro,General Medicine, 9.3 
3079,Medico,Ayurveda, 10.0 
3080,Especialista,Dermatologists, 8.0 
3081,Clinica,General Medicine, 8.0 
3082,Hospital,Ayurveda, 8.0 
3083,ONG,Dentist, 8.0 
3084,Otro,Homeopath, 9.6 
3085,Medico,ENT Specialist, 8.0 
3086,Especialista,Ayurveda, 9.0 
3087,Clinica,General Medicine, 8.8 
3088,Hospital,General Medicine, 810.0 
3089,ONG,General Medicine, 8.2 
3090,Otro,Dermatologists, 8.0 
3091,Medico,Dentist, 8.0 
3092,Especialista,Dentist, 8.0 
3093,Clinica,Dermatologists, 8.0 
3094,Hospital,Dentist, 0.8 
3095,ONG,Dentist, 9.9 
3096,Otro,Dermatologists, 10.0 
3097,Medico,Homeopath, 9.8 
3098,Especialista,ENT Specialist, 8.0 
3099,Clinica,Dermatologists, 8.0 
3100,Hospital,Dentist, 8.0 
3101,ONG,Homeopath, 9.2 
3102,Otro,Homeopath, 9.3 
3103,Medico,Homeopath, 8.0 
3104,Especialista,Homeopath, 8.0 
3105,Clinica,Dermatologists, 8.0 
3106,Hospital,Ayurveda, 8.6 
3107,ONG,Dentist, 10.0 
3108,Otro,General Medicine, 9.8 
3109,Medico,Ayurveda, 8.0 
3110,Especialista,General Medicine, 8.0 
3111,Clinica,Dermatologists, 8.0 
3112,Hospital,General Medicine, 9.3 
3113,ONG,Dermatologists, 8.0 
3114,Otro,ENT Specialist, 9.7 
3115,Medico,Ayurveda, 9.2 
3116,Especialista,Dentist, 8.0 
3117,Clinica,Dentist, 8.0 
3118,Hospital,Ayurveda, 9.6 
3119,ONG,Dermatologists, 8.0 
3120,Otro,ENT Specialist, 8.0 
3121,Medico,Dentist, 0.8 
3122,Especialista,General Medicine, 9.9 
3123,Clinica,Homeopath, 9.7 
3124,Hospital,Homeopath, 8.0 
3125,ONG,General Medicine, 8.0 
3126,Otro,ENT Specialist, 8.0 
3127,Medico,Homeopath, 0.5 
3128,Especialista,Dermatologists, 8.0 
3129,Clinica,General Medicine, 8.0 
3130,Hospital,Homeopath, 8.0 
3131,ONG,General Medicine, 8.0 
3132,Otro,Dentist, 8.3 
3133,Medico,Homeopath, 8.0 
3134,Especialista,Homeopath, 8.0 
3135,Clinica,ENT Specialist, 9.6 
3136,Hospital,Dentist, 8.0 
3137,ONG,ENT Specialist, 10.0 
3138,Otro,Homeopath, 9.0 
3139,Medico,Homeopath, 8.0 
3140,Especialista,Dentist, 8.0 
3141,Clinica,Homeopath, 10.0 
3142,Hospital,Ayurveda, 10.0 
3143,ONG,Dermatologists, 8.0 
3144,Otro,General Medicine, 9.0 
3145,Medico,General Medicine, 0.6 
3146,Especialista,Homeopath, 8.0 
3147,Clinica,Dermatologists, 9.2 
3148,Hospital,Dentist, 8.0 
3149,ONG,Dentist, 9.9 
3150,Otro,Dentist, 10.0 
3151,Medico,Ayurveda, 10.0 
3152,Especialista,Homeopath, 8.0 
3153,Clinica,Homeopath, 8.0 
3154,Hospital,Dentist, 8.0 
3155,ONG,Ayurveda, 8.0 
3156,Otro,General Medicine, 8.0 
3157,Medico,Homeopath, 8.0 
3158,Especialista,General Medicine, 8.0 
3159,Clinica,General Medicine, 8.0 
3160,Hospital,Homeopath, 8.0 
3161,ONG,Dentist, 8.0 
3162,Otro,Homeopath, 10.0 
3163,Medico,Homeopath, 8.0 
3164,Especialista,ENT Specialist, 8.0 
3165,Clinica,Dentist, 8.0 
3166,Hospital,Ayurveda, 9.8 
3167,ONG,Dentist, 8.0 
3168,Otro,Homeopath, 8.0 
3169,Medico,Dentist, 8.0 
3170,Especialista,Ayurveda, 9.8 
3171,Clinica,Dentist, 8.5 
3172,Hospital,Dentist, 8.0 
3173,ONG,General Medicine, 9.9 
3174,Otro,General Medicine, 8.0 
3175,Medico,Dentist, 8.0 
3176,Especialista,Ayurveda, 9.3 
3177,Clinica,Homeopath, 8.0 
3178,Hospital,Dentist, 8.0 
3179,ONG,Dentist, 9.9 
3180,Otro,General Medicine, 9.8 
3181,Medico,ENT Specialist, 8.0 
3182,Especialista,ENT Specialist, 9.8 
3183,Clinica,Dentist, 8.0 
3184,Hospital,Dermatologists, 9.9 
3185,ONG,Dermatologists, 8.0 
3186,Otro,Homeopath, 9.8 
3187,Medico,Dermatologists, 8.0 
3188,Especialista,General Medicine, 8.0 
3189,Clinica,Ayurveda, 9.6 
3190,Hospital,Homeopath, 8.0 
3191,ONG,Dermatologists, 8.0 
3192,Otro,Dentist, 9.5 
3193,Medico,Dentist, 10.0 
3194,Especialista,Dermatologists, 10.0 
3195,Clinica,Ayurveda, 9.8 
3196,Hospital,Dentist, 10.0 
3197,ONG,Dermatologists, 10.0 
3198,Otro,General Medicine, 8.0 
3199,Medico,General Medicine, 8.0 
3200,Especialista,Homeopath, 8.0 
3201,Clinica,Ayurveda, 10.0 
3202,Hospital,General Medicine, 8.0 
3203,ONG,Dentist, 8.0 
3204,Otro,ENT Specialist, 9.7 
3205,Medico,ENT Specialist, 8.0 
3206,Especialista,General Medicine, 9.7 
3207,Clinica,Homeopath, 9.0 
3208,Hospital,Homeopath, 8.0 
3209,ONG,Dentist, 8.0 
3210,Otro,Dentist, 8.0 
3211,Medico,Homeopath, 10.0 
3212,Especialista,Homeopath, 8.0 
3213,Clinica,Dermatologists, 9.4 
3214,Hospital,Dermatologists, 8.0 
3215,ONG,General Medicine, 8.0 
3216,Otro,General Medicine, 8.0 
3217,Medico,Homeopath, 8.0 
3218,Especialista,Ayurveda, 8.0 
3219,Clinica,General Medicine, 8.0 
3220,Hospital,Homeopath, 8.0 
3221,ONG,ENT Specialist, 10.0 
3222,Otro,Dermatologists, 8.0 
3223,Medico,ENT Specialist, 0.7 
3224,Especialista,ENT Specialist, 8.9 
3225,Clinica,ENT Specialist, 810.0 
3226,Hospital,Dermatologists, 8.0 
3227,ONG,Ayurveda, 9.8 
3228,Otro,Dermatologists, 8.0 
3229,Medico,Dentist, 8.0 
3230,Especialista,Homeopath, 9.9 
3231,Clinica,Dermatologists, 8.0 
3232,Hospital,Dentist, 9.9 
3233,ONG,ENT Specialist, 9.7 
3234,Otro,General Medicine, 8.0 
3235,Medico,Homeopath, 8.0 
3236,Especialista,General Medicine, 8.0 
3237,Clinica,Homeopath, 8.0 
3238,Hospital,Dentist, 10.0 
3239,ONG,Homeopath, 8.0 
3240,Otro,Dermatologists, 8.0 
3241,Medico,General Medicine, 8.9 
3242,Especialista,Dentist, 8.0 
3243,Clinica,Ayurveda, 8.0 
3244,Hospital,Dermatologists, 9.7 
3245,ONG,General Medicine, 8.0 
3246,Otro,Homeopath, 8.0 
3247,Medico,Homeopath, 8.8 
3248,Especialista,ENT Specialist, 8.0 
3249,Clinica,Homeopath, 8.0 
3250,Hospital,Dentist, 8.0 
3251,ONG,General Medicine, 8.0 
3252,Otro,Dentist, 8.0 
3253,Medico,Ayurveda, 8.0 
3254,Especialista,Ayurveda, 8.0 
3255,Clinica,ENT Specialist, 0.7 
3256,Hospital,Dentist, 9.7 
3257,ONG,Ayurveda, 8.0 
3258,Otro,Homeopath, 8.0 
3259,Medico,Dentist, 9.6 
3260,Especialista,Homeopath, 10.0 
3261,Clinica,Homeopath, 10.0 
3262,Hospital,ENT Specialist, 8.0 
3263,ONG,Homeopath, 9.3 
3264,Otro,Dentist, 8.0 
3265,Medico,Homeopath, 8.0 
3266,Especialista,Ayurveda, 8.0 
3267,Clinica,Dermatologists, 8.0 
3268,Hospital,Dermatologists, 8.0 
3269,ONG,General Medicine, 8.0 
3270,Otro,ENT Specialist, 8.0 
3271,Medico,Dentist, 0.7 
3272,Especialista,ENT Specialist, 8.0 
3273,Clinica,Dermatologists, 8.0 
3274,Hospital,Dermatologists, 8.0 
3275,ONG,General Medicine, 8.0 
3276,Otro,Ayurveda, 9.6 
3277,Medico,Homeopath, 8.0 
3278,Especialista,Homeopath, 8.0 
3279,Clinica,ENT Specialist, 8.0 
3280,Hospital,Dermatologists, 9.5 
3281,ONG,Dentist, 8.0 
3282,Otro,Dentist, 9.7 
3283,Medico,Homeopath, 9.8 
3284,Especialista,Dentist, 8.0 
3285,Clinica,General Medicine, 9.6 
3286,Hospital,General Medicine, 8.0 
3287,ONG,ENT Specialist, 9.7 
3288,Otro,General Medicine, 8.0 
3289,Medico,General Medicine, 10.0 
3290,Especialista,Homeopath, 8.0 
3291,Clinica,Dentist, 10.0 
3292,Hospital,Dentist, 8.0 
3293,ONG,Homeopath, 8.0 
3294,Otro,ENT Specialist, 8.0 
3295,Medico,General Medicine, 9.7 
3296,Especialista,Dentist, 7.9 
3297,Clinica,General Medicine, 9.9 
3298,Hospital,Homeopath, 8.0 
3299,ONG,ENT Specialist, 9.3 
3300,Otro,Ayurveda, 8.0 
3301,Medico,Dentist, 8.0 
3302,Especialista,Dentist, 8.0 
3303,Clinica,Dentist, 8.0 
3304,Hospital,ENT Specialist, 8.0 
3305,ONG,General Medicine, 8.0 
3306,Otro,Homeopath, 8.0 
3307,Medico,ENT Specialist, 8.0 
3308,Especialista,General Medicine, 8.0 
3309,Clinica,General Medicine, 8.0 
3310,Hospital,Ayurveda, 8.0 
3311,ONG,Ayurveda, 10.0 
3312,Otro,Dentist, 8.0 
3313,Medico,Dentist, 9.8 
3314,Especialista,Homeopath, 9.9 
3315,Clinica,General Medicine, 10.0 
3316,Hospital,Dentist, 810.0 
3317,ONG,Ayurveda, 9.7 
3318,Otro,General Medicine, 8.0 
3319,Medico,Homeopath, 8.3 
3320,Especialista,Dermatologists, 10.0 
3321,Clinica,Ayurveda, 8.0 
3322,Hospital,Dentist, 8.0 
3323,ONG,Homeopath, 8.0 
3324,Otro,ENT Specialist, 9.6 
3325,Medico,Dentist, 9.0 
3326,Especialista,Ayurveda, 8.0 
3327,Clinica,Dentist, 8.0 
3328,Hospital,Ayurveda, 9.9 
3329,ONG,General Medicine, 8.0 
3330,Otro,General Medicine, 8.0 
3331,Medico,Dentist, 8.0 
3332,Especialista,Dermatologists, 9.8 
3333,Clinica,ENT Specialist, 9.8 
3334,Hospital,Ayurveda, 7.6 
3335,ONG,Ayurveda, 9.4 
3336,Otro,Ayurveda, 10.0 
3337,Medico,Dentist, 8.0 
3338,Especialista,Dentist, 10.0 
3339,Clinica,Dermatologists, 9.9 
3340,Hospital,Ayurveda, 9.4 
3341,ONG,Dentist, 9.0 
3342,Otro,General Medicine, 9.3 
3343,Medico,Dentist, 9.9 
3344,Especialista,General Medicine, 8.0 
3345,Clinica,ENT Specialist, 810.0 
3346,Hospital,Homeopath, 8.0 
3347,ONG,General Medicine, 8.0 
3348,Otro,Dentist, 8.0 
3349,Medico,Dentist, 9.7 
3350,Especialista,ENT Specialist, 10.0 
3351,Clinica,Dentist, 9.0 
3352,Hospital,Dentist, 8.0 
3353,ONG,Dentist, 10.0 
3354,Otro,Dermatologists, 9.7 
3355,Medico,Dermatologists, 8.9 
3356,Especialista,ENT Specialist, 8.0 
3357,Clinica,ENT Specialist, 8.0 
3358,Hospital,Dentist, 9.2 
3359,ONG,Dermatologists, 9.5 
3360,Otro,Dermatologists, 9.8 
3361,Medico,Dentist, 8.8 
3362,Especialista,Ayurveda, 9.5 
3363,Clinica,Dentist, 9.6 
3364,Hospital,Dermatologists, 10.0 
3365,ONG,Homeopath, 10.0 
3366,Otro,ENT Specialist, 9.5 
3367,Medico,ENT Specialist, 8.0 
3368,Especialista,Dermatologists, 0.8 
3369,Clinica,Homeopath, 9.2 
3370,Hospital,Dermatologists, 9.5 
3371,ONG,General Medicine, 9.5 
3372,Otro,Dentist, 9.7 
3373,Medico,Dermatologists, 9.3 
3374,Especialista,General Medicine, 8.0 
3375,Clinica,General Medicine, 8.0 
3376,Hospital,Dentist, 8.0 
3377,ONG,Ayurveda, 9.6 
3378,Otro,General Medicine, 8.0 
3379,Medico,General Medicine, 8.0 
3380,Especialista,Dentist, 8.0 
3381,Clinica,Dermatologists, 10.0 
3382,Hospital,Homeopath, 9.2 
3383,ONG,General Medicine, 8.0 
3384,Otro,General Medicine, 8.0 
3385,Medico,Homeopath, 9.7 
3386,Especialista,Homeopath, 8.0 
3387,Clinica,Dentist, 8.0 
3388,Hospital,Dermatologists, 10.0 
3389,ONG,Homeopath, 8.0 
3390,Otro,General Medicine, 9.6 
3391,Medico,Dentist, 9.9 
3392,Especialista,Dermatologists, 9.8 
3393,Clinica,Dermatologists, 10.0 
3394,Hospital,Ayurveda, 9.6 
3395,ONG,General Medicine, 8.0 
3396,Otro,Homeopath, 8.0 
3397,Medico,Dermatologists, 9.5 
3398,Especialista,Homeopath, 8.7 
3399,Clinica,Homeopath, 8.0 
3400,Hospital,Dentist, 8.0 
3401,ONG,Dermatologists, 8.0 
3402,Otro,Dentist, 10.0 
3403,Medico,Dentist, 9.2 
3404,Especialista,Homeopath, 9.7 
3405,Clinica,ENT Specialist, 9.4 
3406,Hospital,Dentist, 8.0 
3407,ONG,Ayurveda, 10.0 
3408,Otro,Dentist, 8.0 
3409,Medico,Dentist, 9.9 
3410,Especialista,General Medicine, 8.0 
3411,Clinica,Dermatologists, 8.0 
3412,Hospital,ENT Specialist, 9.7 
3413,ONG,Ayurveda, 8.0 
3414,Otro,Dentist, 8.0 
3415,Medico,General Medicine, 9.8 
3416,Especialista,Dentist, 8.9 
3417,Clinica,Homeopath, 9.8 
3418,Hospital,Dermatologists, 8.0 
3419,ONG,General Medicine, 8.0 
3420,Otro,General Medicine, 8.5 
3421,Medico,Homeopath, 8.0 
3422,Especialista,Dentist, 8.0 
3423,Clinica,Dermatologists, 8.0 
3424,Hospital,ENT Specialist, 9.7 
3425,ONG,ENT Specialist, 8.0 
3426,Otro,ENT Specialist, 8.0 
3427,Medico,General Medicine, 9.8 
3428,Especialista,Dentist, 8.0 
3429,Clinica,Ayurveda, 9.5 
3430,Hospital,Dentist, 8.0 
3431,ONG,ENT Specialist, 10.0 
3432,Otro,Ayurveda, 8.0 
3433,Medico,General Medicine, 8.0 
3434,Especialista,Dermatologists, 8.0 
3435,Clinica,Dermatologists, 8.0 
3436,Hospital,Dentist, 9.7 
3437,ONG,Homeopath, 8.0 
3438,Otro,ENT Specialist, 8.0 
3439,Medico,Homeopath, 9.0 
3440,Especialista,ENT Specialist, 8.0 
3441,Clinica,ENT Specialist, 8.8 
3442,Hospital,Dentist, 9.2 
3443,ONG,Dermatologists, 8.0 
3444,Otro,Ayurveda, 8.0 
3445,Medico,Ayurveda, 8.0 
3446,Especialista,Homeopath, 8.0 
3447,Clinica,Homeopath, 8.0 
3448,Hospital,Dermatologists, 9.7 
3449,ONG,Dentist, 8.0 
3450,Otro,Dermatologists, 8.0 
3451,Medico,Dermatologists, 8.0 
3452,Especialista,Dentist, 8.0 
3453,Clinica,Dentist, 9.7 
3454,Hospital,Dermatologists, 8.0 
3455,ONG,General Medicine, 8.0 
3456,Otro,Dermatologists, 8.0 
3457,Medico,ENT Specialist, 9.3 
3458,Especialista,Ayurveda, 8.0 
3459,Clinica,ENT Specialist, 8.0 
3460,Hospital,Dermatologists, 8.0 
3461,ONG,General Medicine, 9.6 
3462,Otro,ENT Specialist, 8.0 
3463,Medico,Dermatologists, 10.0 
3464,Especialista,Dentist, 7.6 
3465,Clinica,Homeopath, 8.0 
3466,Hospital,Homeopath, 8.0 
3467,ONG,Dermatologists, 9.9 
3468,Otro,Dentist, 8.0 
3469,Medico,Dermatologists, 8.0 
3470,Especialista,Homeopath, 8.0 
3471,Clinica,Dentist, 8.0 
3472,Hospital,Dermatologists, 10.0 
3473,ONG,Ayurveda, 9.9 
3474,Otro,General Medicine, 8.0 
3475,Medico,Ayurveda, 8.0 
3476,Especialista,Dermatologists, 8.0 
3477,Clinica,Ayurveda, 8.7 
3478,Hospital,General Medicine, 8.0 
3479,ONG,General Medicine, 8.0 
3480,Otro,Homeopath, 9.8 
3481,Medico,Homeopath, 8.0 
3482,Especialista,Dentist, 8.0 
3483,Clinica,ENT Specialist, 8.0 
3484,Hospital,Homeopath, 9.0 
3485,ONG,Dermatologists, 8.0 
3486,Otro,Dentist, 8.0 
3487,Medico,Dentist, 9.9 
3488,Especialista,Dermatologists, 8.0 
3489,Clinica,Ayurveda, 10.0 
3490,Hospital,Dentist, 9.2 
3491,ONG,General Medicine, 10.0 
3492,Otro,Dentist, 10.0 
3493,Medico,General Medicine, 8.0 
3494,Especialista,Homeopath, 8.0 
3495,Clinica,Homeopath, 8.0 
3496,Hospital,Dentist, 8.0 
3497,ONG,General Medicine, 10.0 
3498,Otro,Dermatologists, 8.0 
3499,Medico,Ayurveda, 9.8 
3500,Especialista,Ayurveda, 8.0 
3501,Clinica,Dentist, 8.0 
3502,Hospital,Dentist, 9.4 
3503,ONG,Dermatologists, 8.0 
3504,Otro,Dentist, 9.5 
3505,Medico,Dentist, 9.5 
3506,Especialista,Dermatologists, 9.9 
3507,Clinica,General Medicine, 8.0 
3508,Hospital,Dentist, 8.0 
3509,ONG,ENT Specialist, 8.0 
3510,Otro,General Medicine, 8.0 
3511,Medico,Dentist, 8.0 
3512,Especialista,Dermatologists, 9.9 
3513,Clinica,ENT Specialist, 8.0 
3514,Hospital,Ayurveda, 8.0 
3515,ONG,Dermatologists, 8.0 
3516,Otro,ENT Specialist, 8.0 
3517,Medico,Dermatologists, 10.0 
3518,Especialista,Ayurveda, 8.0 
3519,Clinica,ENT Specialist, 8.0 
3520,Hospital,Dentist, 8.0 
3521,ONG,Homeopath, 8.0 
3522,Otro,Dermatologists, 9.7 
3523,Medico,General Medicine, 9.6 
3524,Especialista,Dentist, 8.0 
3525,Clinica,Dermatologists, 9.8 
3526,Hospital,Dermatologists, 8.0 
3527,ONG,Dermatologists, 7.4 
3528,Otro,Ayurveda, 8.0 
3529,Medico,Dermatologists, 8.0 
3530,Especialista,Dentist, 10.0 
3531,Clinica,General Medicine, 9.0 
3532,Hospital,Homeopath, 9.4 
3533,ONG,Dentist, 8.0 
3534,Otro,Dermatologists, 8.0 
3535,Medico,Ayurveda, 8.0 
3536,Especialista,Dentist, 8.0 
3537,Clinica,ENT Specialist, 8.0 
3538,Hospital,Ayurveda, 0.7 
3539,ONG,General Medicine, 9.6 
3540,Otro,Dermatologists, 9.3 
3541,Medico,Homeopath, 9.4 
3542,Especialista,Dentist, 9.9 
3543,Clinica,Ayurveda, 9.9 
3544,Hospital,Dentist, 8.0 
3545,ONG,Dermatologists, 9.8 
3546,Otro,General Medicine, 9.9 
3547,Medico,Dentist, 9.9 
3548,Especialista,Dermatologists, 8.0 
3549,Clinica,General Medicine, 9.0 
3550,Hospital,Dentist, 8.0 
3551,ONG,Dermatologists, 8.0 
3552,Otro,General Medicine, 9.3 
3553,Medico,General Medicine, 8.0 
3554,Especialista,General Medicine, 9.4 
3555,Clinica,Homeopath, 8.9 
3556,Hospital,Dentist, 10.0 
3557,ONG,Ayurveda, 9.3 
3558,Otro,General Medicine, 9.8 
3559,Medico,General Medicine, 10.0 
3560,Especialista,ENT Specialist, 8.0 
3561,Clinica,Homeopath, 8.0 
3562,Hospital,General Medicine, 8.0 
3563,ONG,Ayurveda, 8.0 
3564,Otro,Ayurveda, 8.0 
3565,Medico,Homeopath, 8.0 
3566,Especialista,Dentist, 8.0 
3567,Clinica,Dermatologists, 9.7 
3568,Hospital,ENT Specialist, 84.0 
3569,ONG,ENT Specialist, 8.0 
3570,Otro,Dentist, 10.0 
3571,Medico,Dentist, 9.9 
3572,Especialista,Ayurveda, 8.5 
3573,Clinica,Ayurveda, 9.8 
3574,Hospital,Dermatologists, 8.0 
3575,ONG,Dentist, 9.6 
3576,Otro,Homeopath, 8.0 
3577,Medico,General Medicine, 8.0 
3578,Especialista,Ayurveda, 9.7 
3579,Clinica,Dentist, 8.0 
3580,Hospital,General Medicine, 10.0 
3581,ONG,Dentist, 8.8 
3582,Otro,Dentist, 8.0 
3583,Medico,Dentist, 9.9 
3584,Especialista,Dermatologists, 9.8 
3585,Clinica,General Medicine, 8.0 
3586,Hospital,Ayurveda, 8.0 
3587,ONG,Dermatologists, 9.6 
3588,Otro,Ayurveda, 10.0 
3589,Medico,Homeopath, 8.0 
3590,Especialista,Dentist, 9.8 
3591,Clinica,General Medicine, 10.0 
3592,Hospital,Dermatologists, 8.0 
3593,ONG,Dermatologists, 8.0 
3594,Otro,General Medicine, 0.8 
3595,Medico,Homeopath, 8.0 
3596,Especialista,Dentist, 8.0 
3597,Clinica,Homeopath, 8.0 
3598,Hospital,Homeopath, 8.0 
3599,ONG,Dermatologists, 8.0 
3600,Otro,Homeopath, 9.4 
3601,Medico,ENT Specialist, 9.9 
3602,Especialista,General Medicine, 10.0 
3603,Clinica,Ayurveda, 10.0 
3604,Hospital,General Medicine, 9.8 
3605,ONG,ENT Specialist, 0.4 
3606,Otro,Homeopath, 8.0 
3607,Medico,General Medicine, 8.0 
3608,Especialista,General Medicine, 8.0 
3609,Clinica,ENT Specialist, 8.0 
3610,Hospital,General Medicine, 8.0 
3611,ONG,General Medicine, 8.0 
3612,Otro,Ayurveda, 10.0 
3613,Medico,Dentist, 8.0 
3614,Especialista,General Medicine, 8.0 
3615,Clinica,Dermatologists, 8.0 
3616,Hospital,Ayurveda, 6.8 
3617,ONG,Ayurveda, 8.0 
3618,Otro,Ayurveda, 9.9 
3619,Medico,Homeopath, 8.0 
3620,Especialista,Dermatologists, 8.0 
3621,Clinica,Ayurveda, 10.0 
3622,Hospital,Dentist, 8.0 
3623,ONG,Dentist, 9.4 
3624,Otro,General Medicine, 8.0 
3625,Medico,General Medicine, 9.6 
3626,Especialista,Ayurveda, 8.0 
3627,Clinica,ENT Specialist, 8.0 
3628,Hospital,ENT Specialist, 6.8 
3629,ONG,Ayurveda, 9.0 
3630,Otro,Dentist, 8.0 
3631,Medico,Homeopath, 8.0 
3632,Especialista,Ayurveda, 9.8 
3633,Clinica,Dermatologists, 8.0 
3634,Hospital,Homeopath, 8.6 
3635,ONG,General Medicine, 8.0 
3636,Otro,Dermatologists, 8.0 
3637,Medico,General Medicine, 9.9 
3638,Especialista,Dentist, 9.5 
3639,Clinica,Homeopath, 9.8 
3640,Hospital,Dermatologists, 8.0 
3641,ONG,ENT Specialist, 9.2 
3642,Otro,Homeopath, 9.3 
3643,Medico,Dermatologists, 8.0 
3644,Especialista,Homeopath, 9.3 
3645,Clinica,ENT Specialist, 8.0 
3646,Hospital,Ayurveda, 10.0 
3647,ONG,Dentist, 8.0 
3648,Otro,Homeopath, 9.5 
3649,Medico,Dentist, 8.0 
3650,Especialista,Homeopath, 10.0 
3651,Clinica,Ayurveda, 8.0 
3652,Hospital,ENT Specialist, 10.0 
3653,ONG,Dermatologists, 8.0 
3654,Otro,Dentist, 8.0 
3655,Medico,Dermatologists, 10.0 
3656,Especialista,Ayurveda, 10.0 
3657,Clinica,Dentist, 8.0 
3658,Hospital,Dermatologists, 9.6 
3659,ONG,Ayurveda, 8.0 
3660,Otro,Dermatologists, 8.0 
3661,Medico,General Medicine, 9.9 
3662,Especialista,Dermatologists, 0.7 
3663,Clinica,General Medicine, 9.9 
3664,Hospital,Homeopath, 8.0 
3665,ONG,ENT Specialist, 8.0 
3666,Otro,Dentist, 8.2 
3667,Medico,Dentist, 9.6 
3668,Especialista,Dentist, 8.0 
3669,Clinica,Dermatologists, 9.6 
3670,Hospital,General Medicine, 8.0 
3671,ONG,Dentist, 8.0 
3672,Otro,Homeopath, 9.9 
3673,Medico,ENT Specialist, 10.0 
3674,Especialista,ENT Specialist, 8.0 
3675,Clinica,General Medicine, 8.0 
3676,Hospital,ENT Specialist, 8.0 
3677,ONG,Dentist, 7.6 
3678,Otro,ENT Specialist, 8.0 
3679,Medico,Dermatologists, 8.0 
3680,Especialista,Dentist, 8.0 
3681,Clinica,Dentist, 9.8 
3682,Hospital,Dentist, 9.7 
3683,ONG,Dermatologists, 10.0 
3684,Otro,Dermatologists, 10.0 
3685,Medico,General Medicine, 9.4 
3686,Especialista,Dentist, 8.0 
3687,Clinica,Dermatologists, 8.0 
3688,Hospital,Ayurveda, 9.0 
3689,ONG,General Medicine, 9.0 
3690,Otro,General Medicine, 8.0 
3691,Medico,Dermatologists, 7.9 
3692,Especialista,Dentist, 10.0 
3693,Clinica,General Medicine, 9.0 
3694,Hospital,Dentist, 8.0 
3695,ONG,Dermatologists, 8.0 
3696,Otro,Dermatologists, 8.0 
