Id,Tipo,Edad,Sexo,Especialidad,Pacientes,Casos
3090,Otro,53,H,Dermatologists,500,223
3091,Medico,60,H,Dentist,500,440
3092,Especialista,42,H,Dentist,1050,216
3093,Clinica,55,H,Dermatologists,200,51
3094,Hospital,53,H,Dentist,800,264
3095,ONG,65,H,Dentist,1000,1028
3096,Otro,45,H,Dermatologists,1000,286
3097,Medico,41,H,Homeopath,500,212
3098,Especialista,46,H,ENT Specialist,200,1060
3099,Clinica,41,H,Dermatologists,200,1080
3100,Hospital,64,H,Dentist,1000,326
3101,ONG,63,H,Homeopath,1000,1044
3102,Otro,48,H,Homeopath,1000,1049
3103,Medico,32,H,Homeopath,500,572
3104,Especialista,48,H,Homeopath,600,273
3105,Clinica,36,H,Dermatologists,450,38
3106,Hospital,47,H,Ayurveda,500,209
3107,ONG,35,H,Dentist,250,207
3108,Otro,69,H,General Medicine,1000,34
3109,Medico,39,H,Ayurveda,1000,278
3110,Especialista,61,H,General Medicine,300,413
3111,Clinica,50,H,Dermatologists,800,247
3112,Hospital,52,H,General Medicine,500,582
3113,ONG,39,H,Dermatologists,300,1041
3114,Otro,50,H,ENT Specialist,1000,417
3115,Medico,56,H,Ayurveda,450,10910
3116,Especialista,35,H,Dentist,1000,313
3117,Clinica,69,H,Dentist,200,530
3118,Hospital,30,H,Ayurveda,200,470
3119,ONG,57,H,Dermatologists,1050,1093
3120,Otro,45,H,ENT Specialist,1000,58
3121,Medico,41,H,Dentist,350,76
3122,Especialista,49,H,General Medicine,1000,109
3123,Clinica,65,H,Homeopath,350,10710
3124,Hospital,41,H,Homeopath,1000,278
3125,ONG,42,H,General Medicine,250,238
3126,Otro,46,H,ENT Specialist,1000,1022
3127,Medico,52,H,Homeopath,800,592
3128,Especialista,48,H,Dermatologists,400,26
3129,Clinica,55,H,General Medicine,1050,66
3130,Hospital,37,H,Homeopath,200,90
3131,ONG,47,H,General Medicine,300,452
3132,Otro,55,H,Dentist,200,536
3133,Medico,57,H,Homeopath,1000,226
3134,Especialista,48,H,Homeopath,1050,1000
3135,Clinica,54,H,ENT Specialist,300,38
3136,Hospital,65,H,Dentist,800,1090
3137,ONG,65,H,ENT Specialist,1000,495
3138,Otro,58,H,Homeopath,800,547
3139,Medico,47,H,Homeopath,450,87
3140,Especialista,67,H,Dentist,800,529
3141,Clinica,39,H,Homeopath,200,546
3142,Hospital,39,H,Ayurveda,1000,436
3143,ONG,58,H,Dermatologists,200,430
3144,Otro,49,H,General Medicine,200,39
3145,Medico,43,H,General Medicine,1050,27
3146,Especialista,47,H,Homeopath,300,259
3147,Clinica,55,H,Dermatologists,350,22
3148,Hospital,47,H,Dentist,300,258
3149,ONG,43,H,Dentist,400,3710
3150,Otro,42,H,Dentist,1000,214
3151,Medico,44,H,Ayurveda,300,450
3152,Especialista,32,H,Homeopath,500,385
3153,Clinica,34,H,Homeopath,450,204
3154,Hospital,37,H,Dentist,1050,1028
3155,ONG,40,H,Ayurveda,1000,532
3156,Otro,30,H,General Medicine,1000,1024
3157,Medico,62,H,Homeopath,400,418
3158,Especialista,52,H,General Medicine,400,341
3159,Clinica,45,H,General Medicine,1050,20
3160,Hospital,32,H,Homeopath,1000,566
3161,ONG,48,H,Dentist,500,554
3162,Otro,54,H,Homeopath,500,526
3163,Medico,60,H,Homeopath,250,314
3164,Especialista,51,H,ENT Specialist,1000,1034
3165,Clinica,64,H,Dentist,700,102
3166,Hospital,65,H,Ayurveda,200,490
3167,ONG,30,H,Dentist,250,23
3168,Otro,55,H,Homeopath,1000,319
3169,Medico,51,H,Dentist,300,34
3170,Especialista,55,H,Ayurveda,1000,570
3171,Clinica,70,H,Dentist,500,1063
3172,Hospital,64,H,Dentist,1000,305
3173,ONG,45,H,General Medicine,200,352
3174,Otro,69,H,General Medicine,1050,418
3175,Medico,68,H,Dentist,200,74
3176,Especialista,65,H,Ayurveda,200,568
3177,Clinica,32,H,Homeopath,1000,446
3178,Hospital,61,H,Dentist,200,278
3179,ONG,43,H,Dentist,300,6
3180,Otro,36,H,General Medicine,300,466
3181,Medico,30,H,ENT Specialist,200,309
3182,Especialista,67,H,ENT Specialist,800,414
3183,Clinica,41,H,Dentist,600,5710
3184,Hospital,36,H,Dermatologists,1000,45
3185,ONG,67,H,Dermatologists,800,409
3186,Otro,66,H,Homeopath,500,456
3187,Medico,68,H,Dermatologists,750,502
3188,Especialista,51,H,General Medicine,200,497
3189,Clinica,40,H,Ayurveda,1000,466
3190,Hospital,63,H,Homeopath,1000,238
3191,ONG,70,H,Dermatologists,600,226
3192,Otro,39,H,Dentist,500,266
3193,Medico,46,H,Dentist,1000,262
3194,Especialista,56,H,Dermatologists,300,408
3195,Clinica,47,H,Ayurveda,400,541
3196,Hospital,40,H,Dentist,300,1045
3197,ONG,57,H,Dermatologists,200,67
3198,Otro,40,H,General Medicine,500,579
3199,Medico,59,H,General Medicine,1000,1025
3200,Especialista,35,H,Homeopath,1000,1092
3201,Clinica,31,H,Ayurveda,500,495
3202,Hospital,58,H,General Medicine,500,267
3203,ONG,30,H,Dentist,350,350
3204,Otro,57,H,ENT Specialist,500,295
3205,Medico,58,H,ENT Specialist,250,234
3206,Especialista,63,H,General Medicine,400,564
3207,Clinica,47,H,Homeopath,500,472
3208,Hospital,70,H,Homeopath,500,358
3209,ONG,52,H,Dentist,300,428
3210,Otro,32,H,Dentist,200,2110
3211,Medico,45,H,Homeopath,300,50
3212,Especialista,47,H,Homeopath,200,344
3213,Clinica,40,H,Dermatologists,500,253
3214,Hospital,30,H,Dermatologists,300,1000
3215,ONG,68,H,General Medicine,500,1088
3216,Otro,41,H,General Medicine,200,313
3217,Medico,49,H,Homeopath,200,343
3218,Especialista,47,H,Ayurveda,500,370
3219,Clinica,40,H,General Medicine,200,1039
3220,Hospital,69,H,Homeopath,1000,1057
3221,ONG,63,H,ENT Specialist,1000,1073
3222,Otro,67,H,Dermatologists,500,378
3223,Medico,48,H,ENT Specialist,400,398
3224,Especialista,70,H,ENT Specialist,400,279
3225,Clinica,46,H,ENT Specialist,200,363
3226,Hospital,30,H,Dermatologists,500,1038
3227,ONG,70,H,Ayurveda,400,300
3228,Otro,57,H,Dermatologists,350,589
3229,Medico,68,H,Dentist,1000,454
3230,Especialista,52,H,Homeopath,300,105
3231,Clinica,50,H,Dermatologists,1000,367
3232,Hospital,38,H,Dentist,1000,593
3233,ONG,59,H,ENT Specialist,200,1051
3234,Otro,37,H,General Medicine,1000,598
3235,Medico,42,H,Homeopath,50,464
3236,Especialista,64,H,General Medicine,200,10104
3237,Clinica,58,H,Homeopath,1000,272
3238,Hospital,49,H,Dentist,1000,350
3239,ONG,50,H,Homeopath,200,316
3240,Otro,32,H,Dermatologists,800,1003
3241,Medico,49,H,General Medicine,500,1054
3242,Especialista,50,H,Dentist,200,367
3243,Clinica,46,H,Ayurveda,1000,1028
3244,Hospital,30,H,Dermatologists,500,483
3245,ONG,52,H,General Medicine,400,380
3246,Otro,43,H,Homeopath,200,333
3247,Medico,37,H,Homeopath,500,494
3248,Especialista,30,H,ENT Specialist,1000,429
3249,Clinica,63,H,Homeopath,250,206
3250,Hospital,59,H,Dentist,200,1040
3251,ONG,36,H,General Medicine,1000,597
3252,Otro,47,H,Dentist,350,459
3253,Medico,45,H,Ayurveda,500,417
3254,Especialista,46,H,Ayurveda,50,353
3255,Clinica,55,H,ENT Specialist,500,1036
3256,Hospital,32,H,Dentist,600,408
3257,ONG,57,H,Ayurveda,800,348
3258,Otro,47,H,Homeopath,200,582
3259,Medico,50,H,Dentist,1000,443
3260,Especialista,36,H,Homeopath,500,2910
3261,Clinica,42,H,Homeopath,250,2810
3262,Hospital,34,H,ENT Specialist,500,28
3263,ONG,58,H,Homeopath,500,512
3264,Otro,68,H,Dentist,1000,528
3265,Medico,39,H,Homeopath,200,357
3266,Especialista,42,H,Ayurveda,450,287
3267,Clinica,60,H,Dermatologists,500,58
3268,Hospital,61,H,Dermatologists,500,299
3269,ONG,42,H,General Medicine,1000,448
3270,Otro,57,H,ENT Specialist,250,445
3271,Medico,32,H,Dentist,700,599
3272,Especialista,55,H,ENT Specialist,500,362
3273,Clinica,30,H,Dermatologists,1080,376
3274,Hospital,32,H,Dermatologists,300,1066
3275,ONG,62,H,General Medicine,300,487
3276,Otro,46,H,Ayurveda,300,254
3277,Medico,34,H,Homeopath,200,78
3278,Especialista,64,H,Homeopath,200,1044
3279,Clinica,49,H,ENT Specialist,1000,587
3280,Hospital,46,H,Dermatologists,300,458
3281,ONG,68,H,Dentist,250,592
3282,Otro,64,H,Dentist,500,417
3283,Medico,42,H,Homeopath,300,88
3284,Especialista,37,H,Dentist,500,10103
3285,Clinica,30,H,General Medicine,300,293
3286,Hospital,70,H,General Medicine,250,388
3287,ONG,50,H,ENT Specialist,700,470
3288,Otro,48,H,General Medicine,500,10102
3289,Medico,43,H,General Medicine,250,464
3290,Especialista,61,H,Homeopath,200,4710
3291,Clinica,33,H,Dentist,300,487
3292,Hospital,69,H,Dentist,1000,437
3293,ONG,51,H,Homeopath,200,377
3294,Otro,60,H,ENT Specialist,50,558
3295,Medico,46,H,General Medicine,350,84
3296,Especialista,38,H,Dentist,600,10106
3297,Clinica,35,H,General Medicine,300,229
3298,Hospital,57,H,Homeopath,1000,1086
3299,ONG,67,H,ENT Specialist,500,238
3300,Otro,58,H,Ayurveda,700,1043
3301,Medico,66,H,Dentist,1000,1020
3302,Especialista,49,H,Dentist,200,372
3303,Clinica,70,H,Dentist,1050,92
3304,Hospital,42,H,ENT Specialist,100,273
3305,ONG,30,H,General Medicine,1000,207
3306,Otro,42,H,Homeopath,200,66
3307,Medico,39,H,ENT Specialist,400,573
3308,Especialista,62,H,General Medicine,300,393
3309,Clinica,48,H,General Medicine,1050,519
3310,Hospital,51,H,Ayurveda,400,332
3311,ONG,31,H,Ayurveda,200,364
3312,Otro,40,H,Dentist,200,394
3313,Medico,57,H,Dentist,200,1053
3314,Especialista,66,H,Homeopath,300,1025
3315,Clinica,53,H,General Medicine,1000,36
3316,Hospital,58,H,Dentist,400,88
3317,ONG,61,H,Ayurveda,250,245
3318,Otro,64,H,General Medicine,300,1056
3319,Medico,46,H,Homeopath,400,106
3320,Especialista,58,H,Dermatologists,500,426
3321,Clinica,61,H,Ayurveda,500,75
3322,Hospital,34,H,Dentist,50,474
3323,ONG,32,H,Homeopath,1050,25
3324,Otro,38,H,ENT Specialist,600,422
3325,Medico,68,H,Dentist,1000,1098
3326,Especialista,57,H,Ayurveda,250,516
3327,Clinica,36,H,Dentist,1000,402
3328,Hospital,55,H,Ayurveda,500,332
3329,ONG,63,H,General Medicine,60,443
3330,Otro,42,H,General Medicine,350,564
3331,Medico,68,H,Dentist,500,592
3332,Especialista,39,H,Dermatologists,500,320
3333,Clinica,42,H,ENT Specialist,700,104
3334,Hospital,30,H,Ayurveda,300,336
3335,ONG,63,H,Ayurveda,1050,570
3336,Otro,45,H,Ayurveda,200,335
3337,Medico,62,H,Dentist,1000,343
3338,Especialista,69,H,Dentist,200,376
3339,Clinica,38,H,Dermatologists,300,406
3340,Hospital,48,H,Ayurveda,800,313
3341,ONG,64,H,Dentist,500,95
3342,Otro,44,H,General Medicine,1050,358
3343,Medico,46,H,Dentist,500,282
3344,Especialista,43,H,General Medicine,200,1077
3345,Clinica,55,H,ENT Specialist,1000,43
3346,Hospital,54,H,Homeopath,400,474
3347,ONG,34,H,General Medicine,1000,462
3348,Otro,68,H,Dentist,1000,236
3349,Medico,57,H,Dentist,1050,510
3350,Especialista,67,H,ENT Specialist,200,61
3351,Clinica,30,H,Dentist,500,439
3352,Hospital,46,H,Dentist,250,1049
3353,ONG,43,H,Dentist,200,109
3354,Otro,59,H,Dermatologists,300,224
3355,Medico,47,H,Dermatologists,250,21
3356,Especialista,33,H,ENT Specialist,300,574
3357,Clinica,59,H,ENT Specialist,300,213
3358,Hospital,59,H,Dentist,1000,1086
3359,ONG,54,H,Dermatologists,1050,54
3360,Otro,56,H,Dermatologists,300,332
3361,Medico,70,H,Dentist,300,1036
3362,Especialista,34,H,Ayurveda,400,432
3363,Clinica,58,H,Dentist,500,43
3364,Hospital,62,H,Dermatologists,200,261
3365,ONG,53,H,Homeopath,300,1003
3366,Otro,68,H,ENT Specialist,920,548
3367,Medico,58,H,ENT Specialist,300,232
3368,Especialista,52,H,Dermatologists,600,528
3369,Clinica,50,H,Homeopath,500,42
3370,Hospital,57,H,Dermatologists,300,1075
3371,ONG,37,H,General Medicine,500,1068
3372,Otro,35,H,Dentist,300,300
3373,Medico,31,H,Dermatologists,200,561
3374,Especialista,41,H,General Medicine,500,463
3375,Clinica,62,H,General Medicine,300,73
3376,Hospital,55,H,Dentist,1000,266
3377,ONG,49,H,Ayurveda,300,74
3378,Otro,41,H,General Medicine,200,1049
3379,Medico,65,H,General Medicine,250,590
3380,Especialista,66,H,Dentist,200,374
3381,Clinica,33,H,Dermatologists,450,422
3382,Hospital,41,H,Homeopath,500,233
3383,ONG,68,H,General Medicine,1000,3
3384,Otro,47,H,General Medicine,1000,2710
3385,Medico,43,H,Homeopath,1000,458
3386,Especialista,62,H,Homeopath,1000,498
3387,Clinica,69,H,Dentist,250,409
3388,Hospital,51,H,Dermatologists,200,544
3389,ONG,42,H,Homeopath,500,241
3390,Otro,33,H,General Medicine,500,86
3391,Medico,64,H,Dentist,600,100
3392,Especialista,59,H,Dermatologists,300,392
3393,Clinica,53,H,Dermatologists,600,200
3394,Hospital,44,H,Ayurveda,450,497
3395,ONG,43,H,General Medicine,1050,594
3396,Otro,55,H,Homeopath,1000,10102
3397,Medico,51,H,Dermatologists,500,285
3398,Especialista,30,H,Homeopath,400,421
3399,Clinica,37,H,Homeopath,500,498
3400,Hospital,65,H,Dentist,750,590
3401,ONG,70,H,Dermatologists,1050,374
3402,Otro,32,H,Dentist,1000,259
3403,Medico,33,H,Dentist,1000,364
3404,Especialista,40,H,Homeopath,1000,518
3405,Clinica,43,H,ENT Specialist,200,104
3406,Hospital,70,H,Dentist,600,555
3407,ONG,45,H,Ayurveda,500,316
3408,Otro,50,H,Dentist,1000,393
3409,Medico,54,H,Dentist,200,1045
3410,Especialista,36,H,General Medicine,1000,1079
3411,Clinica,45,H,Dermatologists,1000,418
3412,Hospital,37,H,ENT Specialist,400,363
3413,ONG,36,H,Ayurveda,250,46
3414,Otro,49,H,Dentist,1000,1076
3415,Medico,44,H,General Medicine,600,274
3416,Especialista,57,H,Dentist,300,29
3417,Clinica,53,H,Homeopath,300,239
3418,Hospital,37,H,Dermatologists,50,472
3419,ONG,59,H,General Medicine,1000,354
3420,Otro,33,H,General Medicine,300,1080
3421,Medico,66,H,Homeopath,250,223
3422,Especialista,39,H,Dentist,500,810
3423,Clinica,32,H,Dermatologists,200,486
3424,Hospital,54,H,ENT Specialist,800,208
3425,ONG,47,H,ENT Specialist,1000,10810
3426,Otro,50,H,ENT Specialist,500,1087
3427,Medico,55,H,General Medicine,500,493
3428,Especialista,44,H,Dentist,300,331
3429,Clinica,32,H,Ayurveda,300,393
3430,Hospital,55,H,Dentist,1000,596
3431,ONG,68,H,ENT Specialist,250,276
3432,Otro,42,H,Ayurveda,1000,76
3433,Medico,60,H,General Medicine,1000,30
3434,Especialista,51,H,Dermatologists,300,53
3435,Clinica,64,H,Dermatologists,500,460
3436,Hospital,61,H,Dentist,1000,1032
3437,ONG,59,H,Homeopath,600,286
3438,Otro,40,H,ENT Specialist,300,1089
3439,Medico,38,H,Homeopath,600,3
3440,Especialista,38,H,ENT Specialist,300,247
3441,Clinica,46,H,ENT Specialist,800,265
3442,Hospital,48,H,Dentist,800,497
3443,ONG,35,H,Dermatologists,500,320
3444,Otro,61,H,Ayurveda,1000,379
3445,Medico,69,H,Ayurveda,500,590
3446,Especialista,62,H,Homeopath,1000,93
3447,Clinica,56,H,Homeopath,600,349
3448,Hospital,68,H,Dermatologists,300,600
3449,ONG,68,H,Dentist,1000,548
3450,Otro,70,H,Dermatologists,200,1038
3451,Medico,34,H,Dermatologists,300,2110
3452,Especialista,70,H,Dentist,300,588
3453,Clinica,48,H,Dentist,200,446
3454,Hospital,32,H,Dermatologists,1000,213
3455,ONG,60,H,General Medicine,500,388
3456,Otro,52,H,Dermatologists,1000,325
3457,Medico,42,H,ENT Specialist,500,394
3458,Especialista,68,H,Ayurveda,500,249
3459,Clinica,68,H,ENT Specialist,1000,5010
3460,Hospital,39,H,Dermatologists,1000,238
3461,ONG,35,H,General Medicine,500,3110
3462,Otro,45,H,ENT Specialist,1050,214
3463,Medico,31,H,Dermatologists,300,487
3464,Especialista,44,H,Dentist,1000,338
3465,Clinica,55,H,Homeopath,1000,352
3466,Hospital,51,H,Homeopath,200,372
3467,ONG,32,H,Dermatologists,1000,61
3468,Otro,30,H,Dentist,300,403
3469,Medico,35,H,Dermatologists,200,59
3470,Especialista,32,H,Homeopath,400,4910
3471,Clinica,37,H,Dentist,250,99
3472,Hospital,30,H,Dermatologists,200,97
3473,ONG,68,H,Ayurveda,400,1096
3474,Otro,66,H,General Medicine,300,86
3475,Medico,57,H,Ayurveda,1000,228
3476,Especialista,58,H,Dermatologists,1050,334
3477,Clinica,67,H,Ayurveda,250,1037
3478,Hospital,45,H,General Medicine,200,421
3479,ONG,58,H,General Medicine,1000,1032
3480,Otro,66,H,Homeopath,300,467
3481,Medico,60,H,Homeopath,1050,1080
3482,Especialista,42,H,Dentist,500,449
3483,Clinica,37,H,ENT Specialist,200,3
3484,Hospital,62,H,Homeopath,600,456
3485,ONG,52,H,Dermatologists,750,101010
3486,Otro,53,H,Dentist,300,457
3487,Medico,30,H,Dentist,1000,222
3488,Especialista,36,H,Dermatologists,300,490
3489,Clinica,57,H,Ayurveda,1000,406
3490,Hospital,56,H,Dentist,500,564
3491,ONG,59,H,General Medicine,200,243
3492,Otro,40,H,Dentist,200,583
3493,Medico,68,H,General Medicine,200,56
3494,Especialista,53,H,Homeopath,200,302
3495,Clinica,34,H,Homeopath,200,109
3496,Hospital,64,H,Dentist,450,53
3497,ONG,40,H,General Medicine,200,473
3498,Otro,59,H,Dermatologists,1050,1067
3499,Medico,46,H,Ayurveda,1000,429
3500,Especialista,69,H,Ayurveda,30,437
3501,Clinica,52,H,Dentist,1000,1036
3502,Hospital,51,H,Dentist,200,276
3503,ONG,56,H,Dermatologists,1000,566
3504,Otro,53,H,Dentist,450,232
3505,Medico,59,H,Dentist,600,288
3506,Especialista,64,H,Dermatologists,1000,306
3507,Clinica,32,H,General Medicine,300,512
3508,Hospital,54,H,Dentist,500,399
3509,ONG,66,H,ENT Specialist,200,400
3510,Otro,37,H,General Medicine,1000,542
3511,Medico,40,H,Dentist,50,550
3512,Especialista,30,H,Dermatologists,250,564
3513,Clinica,53,H,ENT Specialist,700,257
3514,Hospital,54,H,Ayurveda,750,363
3515,ONG,42,H,Dermatologists,1000,467
3516,Otro,51,H,ENT Specialist,500,413
3517,Medico,66,H,Dermatologists,1000,217
3518,Especialista,65,H,Ayurveda,400,397
3519,Clinica,64,H,ENT Specialist,300,232
3520,Hospital,58,H,Dentist,300,1029
3521,ONG,39,H,Homeopath,200,1085
3522,Otro,33,H,Dermatologists,750,382
3523,Medico,45,H,General Medicine,300,101010
3524,Especialista,34,H,Dentist,500,317
3525,Clinica,33,H,Dermatologists,200,352
3526,Hospital,50,H,Dermatologists,200,532
3527,ONG,46,H,Dermatologists,600,24
3528,Otro,69,H,Ayurveda,500,528
3529,Medico,35,H,Dermatologists,300,221
3530,Especialista,30,H,Dentist,700,332
3531,Clinica,31,H,General Medicine,1000,423
3532,Hospital,43,H,Homeopath,500,489
3533,ONG,51,H,Dentist,250,514
3534,Otro,32,H,Dermatologists,1000,3110
3535,Medico,33,H,Ayurveda,300,62
3536,Especialista,62,H,Dentist,500,2910
3537,Clinica,33,H,ENT Specialist,1050,32
3538,Hospital,50,H,Ayurveda,500,419
3539,ONG,46,H,General Medicine,1000,285
3540,Otro,43,H,Dermatologists,800,528
3541,Medico,66,H,Homeopath,500,462
3542,Especialista,62,H,Dentist,500,457
3543,Clinica,49,H,Ayurveda,200,406
3544,Hospital,69,H,Dentist,70,49
3545,ONG,32,H,Dermatologists,250,433
3546,Otro,41,H,General Medicine,700,518
3547,Medico,55,H,Dentist,300,236
3548,Especialista,35,H,Dermatologists,1000,448
3549,Clinica,58,H,General Medicine,1000,235
3550,Hospital,61,H,Dentist,1000,299
3551,ONG,66,H,Dermatologists,1000,47
3552,Otro,56,H,General Medicine,1000,2910
3553,Medico,63,H,General Medicine,300,1036
3554,Especialista,33,H,General Medicine,350,468
3555,Clinica,55,H,Homeopath,1000,597
3556,Hospital,39,H,Dentist,500,551
3557,ONG,38,H,Ayurveda,200,304
3558,Otro,45,H,General Medicine,250,298
3559,Medico,47,H,General Medicine,1000,405
3560,Especialista,38,H,ENT Specialist,1000,257
3561,Clinica,41,H,Homeopath,250,1023
3562,Hospital,47,H,General Medicine,300,455
3563,ONG,32,H,Ayurveda,700,487
3564,Otro,33,H,Ayurveda,1000,240
3565,Medico,40,H,Homeopath,1000,273
3566,Especialista,40,H,Dentist,300,457
3567,Clinica,45,H,Dermatologists,1050,315
3568,Hospital,54,H,ENT Specialist,400,58
3569,ONG,54,H,ENT Specialist,700,202
3570,Otro,33,H,Dentist,300,592
3571,Medico,60,H,Dentist,200,42
3572,Especialista,58,H,Ayurveda,200,364
3573,Clinica,37,H,Ayurveda,500,1097
3574,Hospital,58,H,Dermatologists,400,379
3575,ONG,49,H,Dentist,400,207
3576,Otro,44,H,Homeopath,200,261
3577,Medico,49,H,General Medicine,1050,386
3578,Especialista,64,H,Ayurveda,500,1020
3579,Clinica,40,H,Dentist,250,594
3580,Hospital,67,H,General Medicine,1000,10104
3581,ONG,50,H,Dentist,1000,322
3582,Otro,33,H,Dentist,500,441
3583,Medico,67,H,Dentist,300,315
3584,Especialista,66,H,Dermatologists,200,293
3585,Clinica,68,H,General Medicine,700,237
3586,Hospital,46,H,Ayurveda,500,33
3587,ONG,70,H,Dermatologists,500,573
3588,Otro,39,H,Ayurveda,500,468
3589,Medico,33,H,Homeopath,50,313
3590,Especialista,63,H,Dentist,200,810
3591,Clinica,35,H,General Medicine,200,1064
3592,Hospital,69,H,Dermatologists,1000,427
3593,ONG,64,H,Dermatologists,400,551
3594,Otro,54,H,General Medicine,300,57
3595,Medico,69,H,Homeopath,1000,315
3596,Especialista,55,H,Dentist,50,584
3597,Clinica,39,H,Homeopath,200,1020
3598,Hospital,38,H,Homeopath,1050,398
3599,ONG,49,H,Dermatologists,1000,3810
3600,Otro,66,H,Homeopath,300,42
3601,Medico,54,H,ENT Specialist,200,26
3602,Especialista,44,H,General Medicine,300,252
3603,Clinica,46,H,Ayurveda,1050,1073
3604,Hospital,67,H,General Medicine,1050,90
3605,ONG,65,H,ENT Specialist,700,349
3606,Otro,42,H,Homeopath,600,415
3607,Medico,39,H,General Medicine,200,10108
3608,Especialista,45,H,General Medicine,450,523
3609,Clinica,31,H,ENT Specialist,200,234
3610,Hospital,50,H,General Medicine,700,396
3611,ONG,39,H,General Medicine,1000,350
3612,Otro,69,H,Ayurveda,500,468
3613,Medico,58,H,Dentist,500,563
3614,Especialista,55,H,General Medicine,200,85
3615,Clinica,36,H,Dermatologists,300,569
3616,Hospital,69,H,Ayurveda,500,449
3617,ONG,53,H,Ayurveda,1050,75
3618,Otro,49,H,Ayurveda,500,358
3619,Medico,60,H,Homeopath,60,286
3620,Especialista,66,H,Dermatologists,1000,26
3621,Clinica,42,H,Ayurveda,500,68
3622,Hospital,61,H,Dentist,500,1079
3623,ONG,50,H,Dentist,1000,450
3624,Otro,63,H,General Medicine,200,476
3625,Medico,33,H,General Medicine,300,590
3626,Especialista,49,H,Ayurveda,600,295
3627,Clinica,65,H,ENT Specialist,1000,540
3628,Hospital,63,H,ENT Specialist,700,393
3629,ONG,56,H,Ayurveda,300,54
3630,Otro,43,H,Dentist,400,258
3631,Medico,61,H,Homeopath,1050,1086
3632,Especialista,40,H,Ayurveda,200,343
3633,Clinica,45,H,Dermatologists,400,1077
3634,Hospital,53,H,Homeopath,400,253
3635,ONG,49,H,General Medicine,500,1064
3636,Otro,45,H,Dermatologists,500,351
3637,Medico,52,H,General Medicine,600,402
3638,Especialista,46,H,Dentist,1000,589
3639,Clinica,49,H,Homeopath,500,505
3640,Hospital,64,H,Dermatologists,1000,45
3641,ONG,55,H,ENT Specialist,800,260
3642,Otro,52,H,Homeopath,300,67
3643,Medico,38,H,Dermatologists,200,28
3644,Especialista,37,H,Homeopath,500,1062
3645,Clinica,45,H,ENT Specialist,400,85
3646,Hospital,52,H,Ayurveda,1000,384
3647,ONG,38,H,Dentist,1000,422
3648,Otro,50,H,Homeopath,300,524
3649,Medico,34,H,Dentist,200,449
3650,Especialista,31,H,Homeopath,300,309
3651,Clinica,63,H,Ayurveda,1000,1062
3652,Hospital,32,H,ENT Specialist,400,1057
3653,ONG,55,H,Dermatologists,800,302
3654,Otro,65,H,Dentist,250,1070
3655,Medico,45,H,Dermatologists,500,247
3656,Especialista,33,H,Ayurveda,600,10100
3657,Clinica,67,H,Dentist,500,256
3658,Hospital,49,H,Dermatologists,200,485
3659,ONG,34,H,Ayurveda,300,318
3660,Otro,64,H,Dermatologists,500,5010
3661,Medico,38,H,General Medicine,800,384
3662,Especialista,57,H,Dermatologists,500,1054
3663,Clinica,55,H,General Medicine,350,383
3664,Hospital,48,H,Homeopath,200,1051
3665,ONG,70,H,ENT Specialist,200,1088
3666,Otro,38,H,Dentist,200,382
3667,Medico,54,H,Dentist,300,239
3668,Especialista,69,H,Dentist,1000,1054
3669,Clinica,38,H,Dermatologists,400,1003
3670,Hospital,59,H,General Medicine,1000,307
3671,ONG,47,H,Dentist,1000,448
3672,Otro,45,H,Homeopath,1000,394
3673,Medico,70,H,ENT Specialist,500,526
3674,Especialista,44,H,ENT Specialist,1000,1065
3675,Clinica,63,H,General Medicine,1050,525
3676,Hospital,46,H,ENT Specialist,250,205
3677,ONG,30,H,Dentist,500,2
3678,Otro,34,H,ENT Specialist,200,218
3679,Medico,51,H,Dermatologists,500,77
3680,Especialista,58,H,Dentist,500,409
3681,Clinica,39,H,Dentist,300,585
3682,Hospital,68,H,Dentist,200,529
3683,ONG,67,H,Dermatologists,300,464
3684,Otro,42,H,Dermatologists,300,86
3685,Medico,62,H,General Medicine,500,442
3686,Especialista,37,H,Dentist,250,478
3687,Clinica,56,H,Dermatologists,200,10710
3688,Hospital,49,H,Ayurveda,500,243
3689,ONG,47,H,General Medicine,1000,10010
3690,Otro,42,H,General Medicine,200,562
3691,Medico,60,H,Dermatologists,650,5110
3692,Especialista,68,H,Dentist,600,1052
3693,Clinica,56,H,General Medicine,500,200
3694,Hospital,50,H,Dentist,1050,203
3695,ONG,47,H,Dermatologists,1000,38
3696,Otro,40,H,Dermatologists,250,309
3697,Medico,42,H,Ayurveda,400,418
3698,Especialista,45,H,Dentist,200,488
3699,Clinica,30,H,Ayurveda,500,1047
3700,Hospital,67,H,Homeopath,300,480
3701,ONG,30,H,ENT Specialist,350,472
3702,Otro,58,H,Dentist,700,307
3703,Medico,67,H,Dentist,200,312
3704,Especialista,66,H,ENT Specialist,300,589
3705,Clinica,69,H,Dermatologists,500,365
3706,Hospital,30,H,Dentist,300,292
3707,ONG,44,H,Ayurveda,300,492
3708,Otro,46,H,ENT Specialist,200,45
3709,Medico,58,H,Dentist,600,550
3710,Especialista,43,H,Dermatologists,200,265
3711,Clinica,51,H,Dentist,500,536
3712,Hospital,44,H,General Medicine,300,59
3713,ONG,64,H,Ayurveda,350,232
3714,Otro,48,H,Homeopath,500,488
3715,Medico,46,H,ENT Specialist,300,1044
3716,Especialista,61,H,Ayurveda,500,548
